LSOA_code,all,G1,G2,G3,G4
E01000376,1192,437,342,345,68
E01000377,1163,434,340,312,77
E01000379,1257,483,321,354,99
E01000380,1414,393,381,521,119
E01000381,1196,371,334,335,156
E01000382,1198,552,351,230,65
E01000383,1247,465,358,327,97
E01000384,1292,544,364,302,82
E01000385,1361,403,352,443,163
E01000386,1153,299,239,424,191
E01000387,1231,518,335,303,75
E01000388,1168,458,358,266,86
E01000389,1316,574,386,257,99
E01000390,1013,395,310,240,68
E01000391,1285,410,372,410,93
E01000392,1383,466,368,430,119
E01000393,1269,485,385,312,87
E01000394,1267,532,357,281,97
E01000395,1173,484,342,256,91
E01000396,1104,436,307,280,81
E01000398,1217,365,326,392,134
E01000399,1224,447,347,330,100
E01000400,1211,449,317,336,109
E01000401,1348,373,338,442,195
E01000402,1158,351,278,404,125
E01000403,1722,509,418,602,193
E01000404,1523,458,331,531,203
E01000405,1044,329,256,326,133
E01000406,1502,502,399,459,142
E01000407,1416,560,382,362,112
E01000408,1213,339,332,400,142
E01000409,1303,497,387,345,74
E01000410,1207,461,360,311,75
E01000411,1144,405,355,303,81
E01000412,1289,501,381,341,66
E01000413,1019,312,332,308,67
E01000414,1421,500,401,401,119
E01000415,1173,439,368,287,79
E01000416,1144,293,258,410,183
E01000417,1298,463,380,345,110
E01000418,1398,459,356,433,150
E01000419,1167,385,339,333,110
E01000420,1151,429,321,313,88
E01000421,1230,458,399,277,96
E01000422,862,237,168,327,130
E01000423,1211,556,344,233,78
E01000424,1394,724,369,218,83
E01000425,1390,599,422,235,134
E01000426,1279,550,376,273,80
E01000427,1554,616,479,356,103
E01000428,1438,572,360,347,159
E01000429,1120,313,231,418,158
E01000430,1358,461,320,441,136
E01000431,807,226,193,285,103
E01000433,1306,287,341,489,189
E01000434,1132,246,243,494,149
E01000435,1053,308,264,364,117
E01000436,1307,512,387,317,91
E01000437,1037,348,313,305,71
E01000438,1193,372,334,382,105
E01000439,1011,298,274,325,114
E01000440,1110,398,320,306,86
E01000441,1224,362,302,396,164
E01000442,1281,429,392,360,100
E01000443,998,358,290,263,87
E01000444,1286,620,379,204,83
E01000445,1277,567,383,262,65
E01000446,1171,482,383,252,54
E01000447,1505,731,420,264,90
E01000448,1054,519,318,176,41
E01000449,1228,636,338,162,92
E01000450,1287,435,384,367,101
E01000451,1325,495,371,367,92
E01000452,1080,398,325,288,69
E01000453,1096,424,318,293,61
E01000454,1233,405,326,375,127
E01000455,1362,495,383,366,118
E01000456,1062,393,300,280,89
E01000457,1573,680,432,335,126
E01000458,1219,599,336,204,80
E01000459,1464,594,392,357,121
E01000460,985,527,297,123,38
E01000461,1210,586,343,220,61
E01000462,1502,616,443,314,129
E01000463,941,431,262,198,50
E01000464,1027,244,232,407,144
E01000465,1158,272,246,464,176
E01000466,1110,274,288,411,137
E01000467,1135,314,258,414,149
E01000468,1757,528,461,546,222
E01000469,1141,341,298,398,104
E01000470,871,172,187,357,155
E01000471,1329,299,299,544,187
E01000472,1691,534,380,570,207
E01000473,1930,385,350,842,353
E01000474,1636,290,302,758,286
E01000475,1553,325,358,600,270
E01000476,1679,313,345,762,259
E01000477,1725,271,418,770,266
E01000478,1854,397,356,807,294
E01000479,1319,507,364,227,221
E01000480,1254,518,371,194,171
E01000481,1116,348,287,325,156
E01000483,1232,276,328,412,216
E01000484,1251,293,309,391,258
E01000485,1231,333,354,304,240
E01000486,1221,506,338,213,164
E01000487,1439,441,418,338,242
E01000488,1222,520,280,254,168
E01000489,1310,533,297,272,208
E01000490,1389,691,258,259,181
E01000491,1522,739,314,276,193
E01000492,949,428,247,178,96
E01000493,1217,570,318,222,107
E01000494,1351,546,261,292,252
E01000495,1231,547,238,277,169
E01000497,1639,422,431,534,252
E01000498,1113,182,295,384,252
E01000499,1267,292,342,392,241
E01000501,1351,370,282,451,248
E01000502,1260,374,340,296,250
E01000503,1527,437,425,442,223
E01000504,1327,619,256,295,157
E01000505,1214,419,285,305,205
E01000506,1203,264,303,436,200
E01000507,1200,425,298,318,159
E01000508,1620,358,375,580,307
E01000509,1048,208,309,315,216
E01000510,1184,249,339,363,233
E01000511,1157,293,322,369,173
E01000512,1230,531,304,252,143
E01000513,1216,373,390,311,142
E01000514,1117,339,363,277,138
E01000515,1315,329,428,348,210
E01000516,1678,560,495,437,186
E01000517,1235,424,391,286,134
E01000518,1429,342,500,392,195
E01000519,1417,349,465,398,205
E01000520,1215,352,348,336,179
E01000521,1582,300,334,612,336
E01000522,1377,316,370,450,241
E01000523,1555,386,387,529,253
E01000524,1678,396,397,604,281
E01000525,1315,355,324,464,172
E01000526,1520,290,325,558,347
E01000527,1299,306,287,469,237
E01000528,1235,335,246,431,223
E01000530,1362,650,326,277,109
E01000531,1384,515,275,363,231
E01000532,1162,531,251,273,107
E01000533,1574,396,345,522,311
E01000534,1296,578,323,287,108
E01000535,1544,541,397,401,205
E01000536,1204,523,325,197,159
E01000538,1178,533,354,163,128
E01000539,1195,498,364,189,144
E01000540,1162,553,330,162,117
E01000541,1061,312,349,254,146
E01000543,1230,385,391,282,172
E01000544,1259,493,231,355,180
E01000545,1509,668,285,365,191
E01000546,1296,605,260,248,183
E01000547,1216,592,255,248,121
E01000548,1569,695,305,378,191
E01000549,1440,817,245,267,111
E01000550,1513,548,278,423,264
E01000551,2042,621,389,690,342
E01000552,1004,314,220,291,179
E01000553,1555,432,347,562,214
E01000554,1431,510,326,405,190
E01000555,1164,480,251,266,167
E01000556,1657,429,427,527,274
E01000557,1418,497,308,396,217
E01000558,1074,478,225,228,143
E01000559,1125,490,255,240,140
E01000560,1231,644,219,249,119
E01000561,1414,607,300,322,185
E01000562,1180,492,360,196,132
E01000563,1232,511,351,231,139
E01000564,1123,307,323,352,141
E01000565,1085,354,273,277,181
E01000566,1161,426,354,252,129
E01000567,1016,324,288,267,137
E01000568,1479,774,316,259,130
E01000569,1154,480,332,209,133
E01000570,1221,318,313,416,174
E01000571,1395,424,386,349,236
E01000572,1088,402,323,241,122
E01000573,1220,378,424,260,158
E01000574,1157,378,357,305,117
E01000575,1574,398,587,429,160
E01000576,1394,456,407,348,183
E01000577,1676,412,445,550,269
E01000578,1674,502,451,412,309
E01000579,1239,569,273,294,103
E01000580,1504,865,284,215,140
E01000581,1101,598,243,165,95
E01000582,1283,770,285,164,64
E01000583,1597,860,337,275,125
E01000584,1174,550,275,256,93
E01000585,1122,557,251,224,90
E01000586,1830,847,428,400,155
E01000587,1237,341,436,303,157
E01000589,1890,582,548,514,246
E01000590,1459,479,449,366,165
E01000591,1596,374,547,453,222
E01000592,1397,446,435,358,158
E01000593,1549,438,515,370,226
E01000594,1340,350,484,360,146
E01000595,1105,214,246,409,236
E01000596,1184,205,290,400,289
E01000599,1331,356,254,453,268
E01000601,892,153,201,288,250
E01000602,1011,212,223,370,206
E01000603,978,200,214,367,197
E01000604,1141,235,241,426,239
E01000605,1169,179,243,469,278
E01000606,1320,295,377,447,201
E01000607,1730,424,464,600,242
E01000608,1699,409,399,630,261
E01000609,1511,364,349,602,196
E01000610,1574,401,377,560,236
E01000611,1357,437,308,438,174
E01000612,1283,322,293,477,191
E01000613,1268,350,318,386,214
E01000615,1634,576,376,478,204
E01000616,1452,343,383,579,147
E01000617,1723,492,389,591,251
E01000618,1258,293,331,448,186
E01000619,1235,293,296,462,184
E01000620,1381,306,306,539,230
E01000621,1343,284,337,548,174
E01000622,1298,270,381,458,189
E01000623,1391,414,433,356,188
E01000624,1325,376,413,354,182
E01000625,1213,361,344,272,236
E01000626,1098,243,282,356,217
E01000627,1438,267,453,467,251
E01000628,1340,259,379,444,258
E01000629,1457,371,495,425,166
E01000630,2036,508,392,803,333
E01000631,1579,395,368,571,245
E01000632,1829,353,376,792,308
E01000633,1894,320,389,831,354
E01000634,1831,391,345,810,285
E01000636,1927,451,379,855,242
E01000637,1133,364,256,351,162
E01000638,1471,318,403,543,207
E01000639,1314,464,336,359,155
E01000640,1531,329,334,557,311
