LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,all,G1,G2,G3,G4,weighted_density_all,weighted_density_G1,weighted_density_G2,weighted_density_G3,weighted_density_G4,local_d_index,local_q_G1,local_q_G2,local_q_G3,local_q_G4,local_p_G1_G2,local_p_G1_G3,local_p_G1_G4,local_p_G2_G1,local_p_G2_G3,local_p_G2_G4,local_p_G3_G1,local_p_G3_G2,local_p_G3_G4,local_p_G4_G1,local_p_G4_G2,local_p_G4_G3
E01003890,Richmond upon Thames 018C,NA,515860,171691,51.4324,-0.33468,3e735cd6-c871-4826-9af5-8da5b6f4e2bf,1207,767,272,112,56,1229.856434301822,749.1778177251924,266.29319030404366,149.17632730211048,65.20909897047534,5.030243175470772e-5,1.7248480397549123e-4,3.9598780306853e-5,9.023444906399428e-6,4.059200842356253e-6,6.130924814227401e-5,3.434518343137405e-5,1.5013229686235313e-5,1.1140550676866847e-4,2.2183070491118636e-5,9.69683370870816e-6,4.531660542660502e-5,1.610766248985057e-5,3.944397362487602e-6,4.663556584582805e-5,1.6576483335329064e-5,9.28607637591354e-6
E01003891,Richmond upon Thames 018D,NA,516369,171471,51.4303,-0.32744,ec8895bd-29cf-4184-8b2b-eba228d81db3,1416,869,333,130,84,1237.9943837658093,740.6729359720113,273.7758023267016,154.16760623809955,69.37803922899684,5.560083631207772e-5,1.9193428582071277e-4,4.951398508832053e-5,1.0752926128853653e-5,6.4354862152726575e-6,7.09448942205629e-5,3.995022359115422e-5,1.7978278622512126e-5,1.3395511361985677e-4,2.7882130164543164e-5,1.2547431769525785e-5,5.166066698764076e-5,1.9095392671142976e-5,4.8389992489210115e-6,6.870460051112528e-5,2.5395361724381432e-5,1.4300541148360994e-5
E01003892,Richmond upon Thames 009A,NA,517597,173940,51.4522,-0.30896,cee65c5b-95a5-4f2c-a367-6cd22a7a28e0,1558,1060,319,104,75,1297.024528581841,857.3170910051606,264.8430124738377,117.47140344953195,57.39302165331075,8.282265858566544e-5,2.586569432142843e-4,4.3796386028372346e-5,6.256423846278038e-6,4.5370221090693775e-6,7.990448896548719e-5,3.544172214708008e-5,1.7315767641201997e-5,1.4177225185464285e-4,1.9425934196691705e-5,9.490931658661128e-6,4.565995582312741e-5,1.4105306398874322e-5,3.0567019609669595e-6,6.777246578633623e-5,2.0936318883587193e-5,9.286326791668242e-6
E01003893,Richmond upon Thames 009B,NA,517478,174454,51.4569,-0.3105,a31afc72-fa0e-4be7-b835-981d8c43982d,1295,815,301,123,56,1295.77871239277,843.3407217093852,266.3040093860906,128.21420926979195,57.91977202750228,6.592906920158709e-5,1.958189972370118e-4,4.159303599521612e-5,8.08386931685389e-6,3.422021715345036e-6,6.183430105507227e-5,2.9770622056358885e-5,1.3448647013786914e-5,1.317182609272503e-4,2.0025302035633448e-5,9.046274475281868e-6,5.317239191121501e-5,1.6790391819220874e-5,3.651825102684718e-6,4.98263401615934e-5,1.5733799894273322e-5,7.575164628215155e-6
E01003894,Richmond upon Thames 009C,NA,517229,174165,51.4543,-0.31418,5dfa1f60-5816-445e-8ece-8cb560de5986,1286,867,264,111,44,1292.7475832187035,836.2235613893605,264.9079026919018,133.7117234925913,57.90439564484997,6.433695185269259e-5,2.0703927879101762e-4,3.6374109408979334e-5,7.625838196603751e-6,2.6943201952064993e-6,6.558813175300499e-5,3.310547570773374e-5,1.4336458414566757e-5,1.1482061125114478e-4,1.8359757523879218e-5,7.950766289128853e-6,4.7691447008357034e-5,1.5108210036960795e-5,3.302399673909066e-6,3.89098962879728e-5,1.2326295856194986e-5,6.221672688746866e-6
E01003895,Richmond upon Thames 009D,NA,516890,173702,51.4502,-0.31921,453ff95e-848d-43f5-a99a-437400ee8d1a,1278,818,263,147,50,1304.2631562279237,827.228691573969,264.8109786905788,151.223255814004,61.00023014937193,6.036653899496798e-5,1.9153081193222296e-4,3.5903250634015425e-5,1.132086334355949e-5,3.196943661586997e-6,6.131250314912214e-5,3.501318711997377e-5,1.4123571543839478e-5,1.121562224953383e-4,2.0502950753888732e-5,8.270452239612685e-6,6.192792848408693e-5,1.9824258415104614e-5,4.566594375511167e-6,4.3353992529773006e-5,1.3878403044881166e-5,7.925416477532862e-6
E01003896,Richmond upon Thames 014C,NA,516593,173464,51.4482,-0.32356,2cfb9d35-9159-4718-a704-c29325b21ab1,1458,931,286,195,46,1313.6913865157667,808.155330241633,266.27489799806204,172.22281502182096,67.03834325425069,6.270788339446067e-5,2.1143464624827037e-4,3.897715802759952e-5,1.6980121671384292e-5,3.20912388841472e-6,6.966450230079071e-5,4.505800878543054e-5,1.7538990167638464e-5,1.1829728695606999e-4,2.5209871180243252e-5,9.813032015313763e-6,7.967919834048703e-5,2.6253084792915894e-5,6.609572750050414e-6,3.8686376332303945e-5,1.2746572999424357e-5,8.24430203652909e-6
E01003897,Richmond upon Thames 014D,NA,516108,173401,51.4477,-0.33056,cadce28d-330c-4886-bb6b-e5c6becc4dc7,1438,920,254,186,78,1310.6200041638722,798.9444735669263,267.7636147579983,174.88554983343,69.02636600551766,6.0067778404863223e-5,2.0703921634240968e-4,3.4891187341987127e-5,1.6485378918375022e-5,5.616057575008416e-6,6.938851296761982e-5,4.532000456235922e-5,1.788755689233712e-5,1.0410720414072324e-4,2.2788624541685833e-5,8.994544945965803e-6,7.531155315025788e-5,2.5240419543202356e-5,6.50668851739448e-6,6.500296078788188e-5,2.178552868990795e-5,1.4228871860689237e-5
E01003898,Richmond upon Thames 015A,NA,514998,172808,51.4426,-0.34672,76567350-5603-481a-a446-a89e7797f621,1267,807,260,143,57,1228.0449089481156,721.9137241983735,269.9814780878887,170.674786911546,65.47491975030725,4.6822537455256616e-5,1.7513363712777527e-4,3.84326500791618e-5,1.3200792758366852e-5,4.1546487494247994e-6,6.549652213243135e-5,4.1405080961743e-5,1.5883976785804334e-5,1.0276652215537761e-4,2.4296053229887135e-5,9.320545607597526e-6,5.583621128235227e-5,2.0881640489071446e-5,5.0641390104236674e-6,4.5808348645120673e-05,1.7131417870893106e-5,1.0830006248263804e-5
E01003899,Richmond upon Thames 015B,NA,514590,172810,51.4427,-0.35258,459b349f-8abd-4799-9d81-a64c796a85cd,1071,634,247,147,43,1201.5653140584873,671.890631844238,274.4109117058127,185.7419423626779,69.52182814575882,3.277407324524928e-5,1.3087763660565084e-4,3.792784864143393e-5,1.5093459365717705e-5,3.401269053547619e-6,5.345252617123044e-5,3.618068965814346e-5,1.3542163157188484e-5,9.286571743730652e-5,2.5672420358597446e-5,9.608996081085022e-6,5.459808280752165e-5,2.2298732815305524e-5,5.649369629717336e-6,3.287141426530189e-5,1.342521286960299e-5,9.087193725393169e-6
